model,pruning_method,batch_size,lr,patience,min_delta,prune_biases,snip_mini_batches,seed,fraction,accuracy
small_cnn,snip,64,0.0001,5,1e-05,,1,42,0.9,38.16
small_cnn,snip,128,0.0001,5,1e-05,,1,42,0.25,58.68
small_cnn,snip,128,0.0001,5,1e-05,,1,42,0.5,56.410000000000004
small_cnn,snip,128,0.0001,5,1e-05,,1,42,0.75,49.559999999999995
small_cnn,snip,128,0.0001,5,1e-05,,1,42,0.9,36.26
small_cnn,snip,256,0.0001,5,1e-05,,1,42,0.25,58.099999999999994
small_cnn,snip,256,0.0001,5,1e-05,,1,42,0.5,56.58
small_cnn,snip,256,0.0001,5,1e-05,,1,42,0.75,49.61
small_cnn,snip,256,0.0001,5,1e-05,,1,42,0.9,35.88
small_cnn,snip,64,0.0001,5,1e-05,,3,42,0.25,58.57
small_cnn,snip,64,0.0001,5,1e-05,,3,42,0.5,56.489999999999995
small_cnn,snip,64,0.0001,5,1e-05,,3,42,0.75,52.83
small_cnn,snip,64,0.0001,5,1e-05,,3,42,0.9,38.79
small_cnn,snip,128,0.0001,5,1e-05,,3,42,0.25,58.730000000000004
small_cnn,snip,128,0.0001,5,1e-05,,3,42,0.5,56.98
small_cnn,snip,128,0.0001,5,1e-05,,3,42,0.75,50.3
small_cnn,snip,128,0.0001,5,1e-05,,3,42,0.9,38.019999999999996
small_cnn,snip,256,0.0001,5,1e-05,,3,42,0.25,58.809999999999995
small_cnn,snip,256,0.0001,5,1e-05,,3,42,0.5,57.34
small_cnn,snip,256,0.0001,5,1e-05,,3,42,0.75,49.93
small_cnn,snip,256,0.0001,5,1e-05,,3,42,0.9,38.5
small_cnn,snip,64,0.0001,5,1e-05,,5,42,0.25,58.86
small_cnn,snip,64,0.0001,5,1e-05,,5,42,0.5,57.28
small_cnn,snip,64,0.0001,5,1e-05,,5,42,0.75,51.71
small_cnn,snip,64,0.0001,5,1e-05,,5,42,0.9,38.879999999999995
small_cnn,snip,128,0.0001,5,1e-05,,5,42,0.25,58.620000000000005
small_cnn,snip,128,0.0001,5,1e-05,,5,42,0.5,57.66
small_cnn,snip,128,0.0001,5,1e-05,,5,42,0.75,52.300000000000004
small_cnn,snip,128,0.0001,5,1e-05,,5,42,0.9,39.45
small_cnn,snip,256,0.0001,5,1e-05,,5,42,0.25,58.599999999999994
small_cnn,snip,256,0.0001,5,1e-05,,5,42,0.5,56.81
small_cnn,snip,256,0.0001,5,1e-05,,5,42,0.75,51.74999999999999
small_cnn,snip,256,0.0001,5,1e-05,,5,42,0.9,38.64
